フラグ,コード,歌手,タイトル,URL
J,248,布施明,"ライブ・ダイジェスト 2021-22 TOUR",https://www.youtube.com/watch?v=QMr5rWsrBIU
J,249,布施明,"ドラマティックコンサート '90",http://www.youtube.com/watch?v=KxCm_gJpcjk
J,250,布施明,"AKIRA FUSE LIVETOUR2023-2024",http://www.youtube.com/watch?v=L-lwjx0AJhs
J,251,沢田研二,勝手にしやがれ,https://www.youtube.com/watch?v=aFAdojrMoao
J,252,沢田研二,時の過ぎゆくままに,https://www.youtube.com/watch?v=ra5U80IZ1yk
J,253,沢田研二,TOKIO,https://www.youtube.com/watch?v=hUfTDQru5yI
J,254,沢田研二,カサブランカ・ダンディ,https://www.youtube.com/watch?v=gvI_7tAlsGc
J,255,沢田研二,危険なふたり,https://www.youtube.com/watch?v=zKgIZOduV6E
J,256,沢田研二,君をのせて,https://www.youtube.com/watch?v=FnAUqZSf_-8
J,257,沢田研二,サムライ,https://www.youtube.com/watch?v=VwbuMj7lilU
J,258,沢田研二,"年越し特大LIVE プレミア映像",https://www.youtube.com/watch?v=7UK2bsapI7U
J,259,沢田研二,"沢田研二LIVE2026 「freedom 」",https://www.youtube.com/watch?v=c2cT5x3ngRA
J,261,谷村新司,"昴 -すばる-",https://www.youtube.com/watch?v=LbJ01CaMiEw
J,262,谷村新司,チャンピオン,https://www.youtube.com/watch?v=Sr0tITCF5XQ
J,263,谷村新司,いい日旅立ち,https://www.youtube.com/watch?v=w7BjnRXoDZI
J,264,谷村新司(ｱﾘｽ),遠くで汽笛を聞きながら,https://www.youtube.com/watch?v=Zv7SmrRF5Eg
J,265,谷村新司(ｱﾘｽ),冬の稲妻,https://www.youtube.com/watch?v=w7R7yS7rpsE
J,266,谷村新司(ｱﾘｽ),"ALICE GREAT50  2022",https://www.youtube.com/watch?v=uO_2rhTuldk
J,267,谷村新司(ｱﾘｽ),"青山劇場リサイタル「THE FINAL」",https://www.youtube.com/watch?v=KBGHthzmsNA
F,401,中島みゆき,糸,http://www.youtube.com/watch?v=hDisMIGEP1U
F,402,中島みゆき,時代,http://www.youtube.com/watch?v=Ry_bpaKDcAo
F,403,中島みゆき,地上の星,http://www.youtube.com/watch?v=v2SlpjCz7uE
F,404,中島みゆき,ファイト！,http://www.youtube.com/watch?v=2IhVWlxQGcg
F,405,中島みゆき,ヘッドライト・テールライト,https://www.youtube.com/watch?v=mBYmBjLcn_4&list=RDmBYmBjLcn_4&start_radio=1
F,406,中島みゆき,銀の龍の背に乗って,http://www.youtube.com/watch?v=t3bSqTsnEgU
F,407,中島みゆき,"コンサートツアー 2007「歌旅」",https://www.youtube.com/watch?v=jcY6Sd2VvhE
F,408,中島みゆき,"「縁会」2012～2013 ダイジェスト",http://www.youtube.com/watch?v=AT2MTas5X_s
F,411,かぐや姫,神田川,https://www.youtube.com/watch?v=Or-zDbst9D4
F,412,かぐや姫,なごり雪,https://www.youtube.com/watch?v=xYkvJdfn0rc
F,413,かぐや姫,妹,https://www.youtube.com/watch?v=Wp6r6orL66I
F,414,かぐや姫,赤ちょうちん,https://www.youtube.com/watch?v=_sGsSnD5QU8
F,415,かぐや姫,22才の別れ,https://www.youtube.com/watch?v=vGjFroLbA5I
F,416,かぐや姫,"吉田拓郎＆かぐや姫 つま恋 (1975)",https://www.youtube.com/watch?v=oI8ROyMHmhM
F,417,かぐや姫,"復活・かぐや姫 25年目の再会",https://www.youtube.com/watch?v=GF69o01SqIA
W,501,ビートルズ,"Let It Be",http://www.youtube.com/watch?v=CGj85pVzRJs
W,502,ビートルズ,Yesterday,http://www.youtube.com/watch?v=wXTJBr9tt8Q
